playdate,gametype,headshot,playtime,title,kill,damage,distance,walking_distance,ride_distance,DBNO,assists,heal,boost,revive,kill_per_min,head_per_kill
2020-06-01 19:18:00,Squad,0,1411.277,Z-YiQiu,3,300,8.96,2.08,6.88,3,0,0,7,0,0.127544061158794,0
2020-06-01 19:44:00,Squad,3,1145.803955,Z-YiQiu,3,316,8.85,1.47,7.38,3,0,3,3,0,0.15709493689084,1
2020-06-01 20:22:00,Squad,0,645.25,Z-YiQiu,0,81,3.1,0.71,2.39,0,0,0,2,0,0,0
2020-06-01 20:35:00,Squad,0,1755.381958,Z-YiQiu,0,0,4.82,3.97,0.85,0,1,0,6,0,0,0
2020-06-01 21:06:00,Squad,0,523.971,Z-YiQiu,0,41,1.28,1.28,0,0,0,0,1,0,0,0
2020-06-01 21:16:00,Squad,3,1568.213989,Z-YiQiu,4,480,6.63,4.12,2.51,3,0,3,8,0,0.153040338680463,0.75
2020-06-01 21:44:00,Squad,0,356.7080078,Z-YiQiu,0,0,0.69,0.69,0,0,0,0,2,0,0,0
2020-06-01 21:52:00,Squad,1,1910.817,Z-YiQiu,4,879,7.63,3.21,4.42,4,1,1,15,2,0.125600724716182,0.25
2020-06-02 01:28:00,Squad,1,1627.911011,Z-YiQiu,4,495,4.69,3.62,1.08,4,0,1,12,0,0.147428206074097,0.25
2020-06-02 01:57:00,Squad,1,1728.848022,Z-YiQiu,3,191,6.88,3.61,3.27,2,0,1,11,1,0.104115571588397,0.333333333333333
2020-06-02 02:31:00,Squad,0,532.1560059,Z-YiQiu,0,89,1.84,0.38,1.46,0,0,0,2,0,0,0
2020-06-02 04:52:00,Squad,0,576.7050171,lukoushu123,0,0,1.41,1.2,0.22,0,0,0,2,0,0,0
2020-06-02 05:42:00,Squad,0,1654.113037,lukoushu123,0,307,15.25,1.57,13.68,0,1,0,3,0,0,0
2020-06-02 06:04:00,Squad,1,1585.515015,Z-YiQiu,1,100,7.86,3.75,4.11,1,0,1,9,0,0.037842593373359,1
2020-06-02 06:13:00,Squad,0,349.3190002,lukoushu123,0,0,0.44,0.44,0,0,0,0,2,0,0,0
2020-06-02 06:20:00,Squad,0,1399.68103,lukoushu123,0,14,21.58,0.93,20.65,0,0,0,3,0,0,0
2020-06-02 08:54:00,Squad,0,278.1759949,Z-YiQiu,1,137,0.37,0.37,0,1,0,0,2,0,0.215690789644049,0
2020-06-02 09:01:00,Squad,2,1901.885,Z-YiQiu,3,641,6.58,2.49,4.1,4,2,2,14,1,0.094642946340078,0.666666666666667
2020-06-02 09:38:00,Squad,1,891.559021,Z-YiQiu,3,315,2.74,2.15,0.59,3,2,1,5,0,0.20189353229594,0.333333333333333
2020-06-02 09:54:00,Squad,0,214.7769928,Z-YiQiu,0,0,0.11,0.11,0,0,0,0,0,0,0,0
2020-06-02 10:00:00,Squad,0,605.4199829,Z-YiQiu,0,0,0.77,0.77,0,0,0,0,2,0,0,0
2020-06-02 23:11:00,Squad,2,1606.329956,WRrDDR6,4,633,6.28,2.9,3.38,5,0,2,6,0,0.149408905127833,0.5
2020-06-02 23:42:00,Squad,0,955.0960083,WRrDDR6,0,0,5.7,1.59,4.11,1,0,0,2,0,0,0
2020-06-03 00:00:00,Squad,1,1793.69104,WRrDDR6,3,444,4.8,1.65,3.15,4,3,1,4,0,0.100351730585664,0.333333333333333
2020-06-03 00:33:00,Squad,0,890.0529785,WRrDDR6,0,65,3.36,1.27,2.1,0,0,0,3,0,0,0
2020-06-03 00:50:00,Squad,0,87.30200195,WRrDDR6,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-03 02:20:00,Ranked FPP,0,793.5189819,SILENCE7340,0,0,1.96,1.96,0,0,0,0,1,0,0,0
2020-06-03 02:36:00,Ranked FPP,0,1316.629028,SILENCE7340,1,228,4.99,2.72,2.27,2,1,0,8,2,0.045570922958566,0
2020-06-03 03:00:00,Ranked FPP,0,1442.505981,SILENCE7340,0,53,6.12,1.54,4.58,1,0,0,9,0,0,0
2020-06-03 03:26:00,Ranked FPP,2,1309.968994,SILENCE7340,3,185,4.45,2.14,2.31,1,1,2,4,0,0.13740783241775,0.666666666666667
2020-06-03 03:57:00,Ranked FPP,1,1175.957031,SILENCE7340,1,212,2.8,1.23,1.57,1,0,1,6,0,0.051022272428592,1
2020-06-03 04:23:00,Ranked FPP,0,1802.291016,SILENCE7340,1,110,6.76,1.91,4.85,2,1,0,9,2,0.033290961041999,0
2020-06-03 04:24:00,Squad,0,141.3910065,WRrDDR6,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-03 04:27:00,Squad,0,1262.599976,WRrDDR6,0,293,1.53,1.53,0,0,0,0,0,0,0,0
2020-06-03 04:51:00,Squad,0,1227.339966,WRrDDR6,0,0,2.79,2.79,0,0,0,0,5,0,0,0
2020-06-03 05:15:00,Squad,0,825.0640259,WRrDDR6,0,46,4.33,0.8,3.53,0,0,0,1,0,0,0
2020-06-03 07:16:00,Ranked FPP,0,1187.623047,SILENCE7340,1,241,3.38,1.75,1.63,3,0,0,6,0,0.050521080869526,0
2020-06-03 07:39:00,Ranked FPP,0,615.4559937,SILENCE7340,1,31,1.61,0.8,0.81,1,0,0,2,0,0.097488692309733,0
2020-06-03 07:53:00,Ranked FPP,0,325.6749878,SILENCE7340,0,0,0.35,0.35,0,0,0,0,1,0,0,0
2020-06-03 08:03:00,Ranked FPP,0,321.0599976,SILENCE7340,0,19,0.55,0.55,0,0,0,0,0,0,0,0
2020-06-03 08:10:00,Ranked FPP,0,1635.927979,SILENCE7340,0,129,2.28,1.65,0.63,0,1,0,5,0,0,0
2020-06-03 08:41:00,Ranked FPP,0,1074.984009,SILENCE7340,0,11,4.29,1.35,2.95,0,0,0,4,0,0,0
2020-06-03 09:40:00,Squad,0,874.7630005,Sherman-1,0,85,2.79,2.32,0.47,0,0,0,1,0,0,0
2020-06-03 09:57:00,Squad,0,916.8770142,Sherman-1,1,117,3.75,1.21,2.54,2,0,0,2,0,0.065439529043436,0
2020-06-03 10:15:00,Squad,1,1643.412964,Sherman-1,6,717,5.45,4.18,1.27,6,1,1,6,0,0.219056322352341,0.166666666666667
2020-06-03 10:47:00,Squad,0,358.3559875,Sherman-1,1,124,0.54,0.54,0,1,0,0,0,1,0.167431275304142,0
2020-06-03 10:55:00,Squad,0,915.2260132,Sherman-1,2,200,4.23,1.73,2.5,2,0,0,5,0,0.131115154365457,0
2020-06-03 11:01:00,Ranked FPP,1,933.4660034,SILENCE7340,2,225,1.65,1.17,0.47,1,0,1,2,1,0.128553155190354,0.5
2020-06-03 11:12:00,Squad,2,1250.572998,Sherman-1,2,306,5.9,1.86,4.04,1,1,2,4,2,0.09595601391675,1
2020-06-03 11:19:00,Ranked FPP,0,1703.246948,SILENCE7340,0,98,7.61,1.22,6.39,0,0,0,1,0,0,0
2020-06-03 11:35:00,Squad,0,1478.279053,Sherman-1,0,57,4.07,2.16,1.91,0,0,0,2,0,0,0
2020-06-03 12:06:00,Squad,0,1810.817017,Sherman-1,1,486,8.61,3.23,5.38,2,2,0,5,0,0.033134214797364,0
2020-06-03 12:40:00,Squad,0,324.5270081,Sherman-1,1,165,0.46,0.46,0,1,0,0,1,0,0.184884458003297,0
2020-06-03 12:51:00,Squad,1,1743.482056,Sherman-1,1,187,5.62,2.51,3.11,0,0,1,8,2,0.034413890176568,1
2020-06-03 13:25:00,Squad,0,283.8039856,Sherman-1,0,28,0.58,0.58,0,0,0,0,0,0,0,0
2020-06-03 13:35:00,Squad,0,1541.886963,Sherman-1,1,233,5.66,4.47,1.19,1,0,0,7,0,0.038913358397726,0
2020-06-03 14:05:00,Squad,0,430.70401,Sherman-1,0,119,0.86,0.86,0,0,1,0,0,0,0,0
2020-06-03 14:16:00,Squad,0,777.9509888,Sherman-1,1,50,2.09,0.86,1.22,0,0,0,3,4,0.077125681262454,0
2020-06-03 14:31:00,Squad,0,297.3609924,Sherman-1,1,177,0.22,0.22,0,1,0,0,2,0,0.201774952107,0
2020-06-03 14:38:00,Squad,0,1500.849976,Sherman-1,3,435,5.44,2.96,2.48,3,0,0,5,1,0.119932040429336,0
2020-06-03 15:10:00,Squad,0,1522.406006,Sherman-1,1,49,5.22,2.54,2.68,1,0,0,2,0,0.039411300115431,0
2020-06-03 15:37:00,Squad,0,258.3930054,Sherman-1,0,159,0.28,0.28,0,1,0,0,0,0,0,0
2020-06-03 15:43:00,Squad,0,274.1419983,Sherman-1,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-03 15:45:00,Squad,0,1328.107056,Sherman-1,0,226,7.3,2.67,4.64,2,2,0,5,0,0,0
2020-06-03 16:46:00,Squad,0,1074.030029,WRrDDR6,0,30,2.67,2.67,0,0,0,0,6,0,0,0
2020-06-03 17:07:00,Squad,0,1082.603027,WRrDDR6,0,68,4.22,1.15,3.07,0,0,0,2,0,0,0
2020-06-03 17:27:00,Squad,1,1101.551025,WRrDDR6,1,221,2.26,2.26,0,1,0,1,4,0,0.054468652507495,1
2020-06-03 17:47:00,Squad,0,1761.666016,WRrDDR6,3,208,6.66,2.42,4.24,2,0,0,6,0,0.102176007464062,0
2020-06-03 18:21:00,Squad,0,1525.579956,WRrDDR6,0,185,3.18,3.18,0,0,0,0,5,0,0,0
2020-06-03 18:50:00,Squad,1,1097.228027,WRrDDR6,2,328,2.6,2.02,0.59,3,0,1,4,0,0.109366510011688,0.5
2020-06-03 19:13:00,Squad,1,1562.375,WRrDDR6,3,523,3.27,2.92,0.34,3,0,1,5,1,0.115209216737339,0.333333333333333
2020-06-03 19:41:00,Squad,1,1574.866943,WRrDDR6,3,434,9.21,1.95,7.25,2,0,1,6,0,0.114295370031143,0.333333333333333
2020-06-03 20:05:00,Ranked FPP,0,170.2400055,SILENCE7340,0,27,0.22,0.22,0,0,0,0,0,0,0,0
2020-06-03 20:10:00,Ranked FPP,0,152.3059998,SILENCE7340,0,0,0.02,0.02,0,0,0,0,0,0,0,0
2020-06-03 20:14:00,Ranked FPP,0,1020.533997,SILENCE7340,0,0,3.47,1.1,2.37,0,0,0,4,0,0,0
2020-06-03 20:34:00,Ranked FPP,0,1016.955994,SILENCE7340,1,183,2.22,1.58,0.64,3,0,0,6,1,0.058999603084104,0
2020-06-03 20:36:00,Squad,0,938.1040039,WRrDDR6,0,206,1.88,1.66,0.22,0,0,0,2,0,0,0
2020-06-03 20:53:00,Ranked FPP,0,848.7119751,SILENCE7340,0,66,5.55,1.23,4.33,0,0,0,3,0,0,0
2020-06-03 20:54:00,Squad,0,185.2200012,WRrDDR6,0,0,0.19,0.19,0,0,0,0,0,0,0,0
2020-06-03 20:58:00,Squad,0,851.026001,WRrDDR6,0,0,1.39,0.25,1.14,0,0,0,0,0,0,0
2020-06-03 21:09:00,Ranked FPP,0,1455.750977,SILENCE7340,2,216,6.95,1.67,5.28,2,0,0,6,2,0.082431680895929,0
